GRUPO ECONÔMICO;VARIÁVEL;2019-01;2019-02;2019-03;2019-04
ALGAR;Indicador de Desempenho no Atendimento (IDA);58.08778793894429;81.54690695624642;70.24457541542392;75.60685464199662
NET;Indicador de Desempenho no Atendimento (IDA);77.40686349197406;78.41879890073915;79.26968585466383;82.28332869104568
OI;Indicador de Desempenho no Atendimento (IDA);47.4027098602281;53.92539905054001;52.073515952036225;49.93887429827683
SERCOMTEL;Indicador de Desempenho no Atendimento (IDA);83.82509303561935;78.39411059750043;69.0837645518336;84.41137566137566
SKY;Indicador de Desempenho no Atendimento (IDA);26.422366453158205;34.47721125217073;35.27447677638007;34.47153979266322
TIM;Indicador de Desempenho no Atendimento (IDA);0.0;0.0;0.0;0.0
VIVO;Indicador de Desempenho no Atendimento (IDA);62.86101906164564;69.58353987390117;68.48501398280752;65.33107645709634
ALGAR;Índice de Reclamações;1.85240925000645;1.1381237217501434;1.387997501262205;1.1613362794364144
NET;Índice de Reclamações;1.3037254603210373;1.2632480439704343;1.2292125658134467;1.108666852358173
OI;Índice de Reclamações;2.2805185958521217;2.0318383128139827;2.0968054372381015;2.1846320481933916
SERCOMTEL;Índice de Reclamações;0.18388698370503237;0.21458739071486863;0.18532547379920472;0.1492982979994028
SKY;Índice de Reclamações;3.3431053418736716;3.0209115499131705;2.989020928944797;3.021138408293471
TIM;Índice de Reclamações;19.085609580100375;16.877925175736426;21.146598614187013;16.723663602714737
VIVO;Índice de Reclamações;1.8855592375341745;1.616658405043953;1.6605994406876996;1.7867569417161466
ALGAR;Quantidade de acessos em serviço;581405.0;584295.0;584295.0;592421.0
NET;Quantidade de acessos em serviço;9372372.0;9401954.0;9401954.0;9485266.0
OI;Quantidade de acessos em serviço;5942508.0;5879897.0;5879897.0;5825695.0
SERCOMTEL;Quantidade de acessos em serviço;309973.0;307567.0;307567.0;301410.0
SKY;Quantidade de acessos em serviço;352367.0;344929.0;344929.0;313789.0
TIM;Quantidade de acessos em serviço;493356.0;498047.0;498047.0;511431.0
VIVO;Quantidade de acessos em serviço;7561152.0;7532822.0;7532822.0;7465481.0
ALGAR;Quantidade de reabertas;85.0;38.0;61.0;59.0
NET;Quantidade de reabertas;906.0;887.0;860.0;671.0
OI;Quantidade de reabertas;1156.0;976.0;1027.0;1078.0
SERCOMTEL;Quantidade de reabertas;6.0;8.0;6.0;5.0
SKY;Quantidade de reabertas;37.0;40.0;44.0;25.0
TIM;Quantidade de reabertas;1493.0;1426.0;1967.0;1066.0
VIVO;Quantidade de reabertas;835.0;733.0;715.0;747.0
ALGAR;Quantidade de reclamações;1077.0;665.0;811.0;688.0
NET;Quantidade de reclamações;12219.0;11877.0;11557.0;10516.0
OI;Quantidade de reclamações;13552.0;11947.0;12329.0;12727.0
SERCOMTEL;Quantidade de reclamações;57.0;66.0;57.0;45.0
SKY;Quantidade de reclamações;1178.0;1042.0;1031.0;948.0
TIM;Quantidade de reclamações;9416.0;8406.0;10532.0;8553.0
VIVO;Quantidade de reclamações;14257.0;12178.0;12509.0;13339.0
ALGAR;Quantidade de Reclamações no Período;2400.0;2897.0;2665.0;2553.0
NET;Quantidade de Reclamações no Período;25706.0;29332.0;32607.0;35655.0
OI;Quantidade de Reclamações no Período;33980.0;35344.0;36057.0;37827.0
SERCOMTEL;Quantidade de Reclamações no Período;135.0;136.0;157.0;180.0
SKY;Quantidade de Reclamações no Período;2871.0;3009.0;3116.0;3252.0
TIM;Quantidade de Reclamações no Período;20886.0;22953.0;24538.0;28355.0
