GRUPO ECONÔMICO;VARIÁVEL;2013-01-01 00:00:00;2013-02-01 00:00:00;2013-03-01 00:00:00;2013-04-01 00:00:00;2013-05-01 00:00:00;2013-06-01 00:00:00;2013-07-01 00:00:00;2013-08-01 00:00:00;2013-09-01 00:00:00;2013-10-01 00:00:00;2013-11-01 00:00:00;2013-12-01 00:00:00
Claro;Indicador de Desempenho no Atendimento (IDA);83.04;84.593;76.466;80.444;74.172;76.133;75.076;80.951;85.478;83.662;87.221;87.327
CTBC Celular;Indicador de Desempenho no Atendimento (IDA);96.05;96.2;93.25;87.766;95.95;89.74;93.15;77.889;87.091;92.6;82.158;82.045
OI Celular;Indicador de Desempenho no Atendimento (IDA);63.76;76.955;66.428;65.911;62.955;62.575;53.728;61.825;72.939;71.572;76.22;79.519
Sercomtel Celular;Indicador de Desempenho no Atendimento (IDA);100.0;100.0;100.0;100.0;100.0;100.0;100.0;91.667;100.0;100.0;100.0;68.75
TIM GSM;Indicador de Desempenho no Atendimento (IDA);91.7;92.5;90.55;92.05;89.65;93.0;90.45;89.3;86.198;90.15;91.85;90.4
Vivo;Indicador de Desempenho no Atendimento (IDA);95.05;93.901;95.3;93.85;94.0;94.9;92.8;91.1;90.75;91.85;92.4;93.75
Claro;Quantidade de reclamações;27953.0;26857.0;30485.0;31250.0;31094.0;28813.0;31123.0;29050.0;25175.0;27727.0;23335.0;23648.0
CTBC Celular;Quantidade de reclamações;214.0;221.0;281.0;291.0;251.0;265.0;311.0;391.0;335.0;338.0;323.0;277.0
Oi Celular;Quantidade de reclamações;33369.0;27084.0;30299.0;32078.0;33670.0;33209.0;41283.0;34188.0;29507.0;30935.0;27685.0;25191.0
Sercomtel Celular;Quantidade de reclamações;5.0;1.0;2.0;1.0;1.0;1.0;2.0;4.0;4.0;5.0;6.0;2.0
TIM GSM;Quantidade de reclamações;25841.0;24734.0;27731.0;25647.0;29317.0;24541.0;28437.0;30206.0;27018.0;29051.0;26490.0;28759.0
Vivo;Quantidade de reclamações;22687.0;20798.0;22356.0;24613.0;24321.0;22975.0;26332.0;29138.0;29485.0;28065.0;27344.0;25078.0
Claro;Quantidade de acessos em serviço;65555652.0;66070644.0;66308256.0;66084450.0;66516631.0;66472435.0;66676386.0;67111046.0;67432269.0;67915035.0;68255566.0;68704019.0
CTBC Celular;Quantidade de acessos em serviço;766726.0;801896.0;839640.0;875020.0;893457.0;906884.0;923457.0;943802.0;959797.0;971428.0;986136.0;1003751.0
Oi Celular;Quantidade de acessos em serviço;49438070.0;49520667.0;49493752.0;49649161.0;49770893.0;49708339.0;49821610.0;50048824.0;50013301.0;50100952.0;50170493.0;50216060.0
Sercomtel Celular;Quantidade de acessos em serviço;68857.0;69402.0;69220.0;71265.0;68299.0;65452.0;61233.0;65054.0;63867.0;63546.0;62249.0;61071.0
TIM GSM;Quantidade de acessos em serviço;70597829.0;70696608.0;71232161.0;71453175.0;72016401.0;72195067.0;72677853.0;72924141.0;72892399.0;73183060.0;73013411.0;73431175.0
