GRUPO ECONÔMICO;VARIÁVEL;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12
ALGAR;Indicador de Desempenho no Atendimento (IDA);73.2142857142857;93.9123376623377;85.2268657785418;87.1862209951063;88.0184331797235;85.1500789889415;85.2346278317152;87.7142857142857;87.6436781609195;87.280701754386;100.0;100.0
CLARO;Indicador de Desempenho no Atendimento (IDA);87.0872268435561;92.9887794348588;85.9506539082741;86.8717306166027;80.0087489504797;77.5486340525834;77.1364144108932;80.9582443857451;82.10855751671;80.7353039266522;82.2066557297101;76.9244385106875
OI;Indicador de Desempenho no Atendimento (IDA);95.6498389270456;93.3752041457804;76.1667803211416;76.6523822879777;69.986156381266;69.0621330049201;68.6418402208672;70.8406762743931;84.2095280494254;87.2227546935784;73.8270660852333;72.4319938432434
SERCOMTEL;Indicador de Desempenho no Atendimento (IDA);100.0;100.0;67.7083333333333;4.16666666666666;4.16666666666666;67.5;76.0416666666667;72.1590909090909;58.3333333333333;79.6875;65.5529192416709;44.6127329213799
TIM;Indicador de Desempenho no Atendimento (IDA);94.1432491551401;91.026405896345;78.2375217077403;84.2484162536854;76.2486011110054;80.4619538356887;77.1692634599941;81.5670641613762;82.507025159534;83.0845974672571;77.1809072555803;75.4219755502983
VIVO;Indicador de Desempenho no Atendimento (IDA);94.5353887908071;89.7723155193264;84.0731781185372;87.8584658336292;86.4857128602525;84.3941725591405;81.743371392625;80.4415963731245;75.6317753942765;84.0904053566562;73.0289403320666;70.0429726248169
ALGAR;Índice de Reclamações;0.0801510110477536;0.124426547130999;0.142779770579231;0.239553907930657;0.171162778957863;0.166221832883248;0.161885796643149;0.136802862384919;0.135591107093597;0.133263090955567;0.112751055777558;0.111685370756919
CLARO;Índice de Reclamações;0.25204919739253;0.340224411302823;0.480986921834517;0.462565387667945;0.49127990391445;0.523086476777123;0.657271711782137;0.580835112285099;0.5578288496658;0.585293921466957;0.555866885405797;0.559866175327097
OI;Índice de Reclamações;0.287003221459088;0.332495917084392;0.455366339716761;0.434120986516117;0.536875124046864;0.545159075403519;0.562540729309401;0.564690297912946;0.515809439011493;0.455544906128432;0.49552055998762;0.498389622875961
SERCOMTEL;Índice de Reclamações;0.0375523385718846;0.0746867823067013;0.0731809948956256;0.0178625654216459;0.0174064403829417;0.0846883468834688;0.132240148108966;0.178754245413329;0.127153665204399;0.124670791192009;0.309774948499915;0.600480384307446
