GRUPO ECONÔMICO;VARIÁVEL;2019-01;2019-02;2019-03;2019-04
ALGAR;Indicador de Desempenho no Atendimento (IDA);87.47783687943263;86.39455782312925;100.0;86.16838487972508
CLARO;Indicador de Desempenho no Atendimento (IDA);85.7055434578636;86.7887338203782;85.49035638803204;86.9102559279153
NEXTEL;Indicador de Desempenho no Atendimento (IDA);43.71943451744498;50.97873975896198;48.543447881419944;50.75555653707365
OI;Indicador de Desempenho no Atendimento (IDA);82.28781927821613;89.70222550210211;89.53496897298464;88.13351714873197
SERCOMTEL;Indicador de Desempenho no Atendimento (IDA);0.0;100.0;0.0;0.0
TIM;Indicador de Desempenho no Atendimento (IDA);59.53407632839113;67.24214925403555;68.27208882025354;61.20406624690583
VIVO;Indicador de Desempenho no Atendimento (IDA);89.5998364764618;92.25634396138176;94.70165496551417;95.49139042814443
ALGAR;Índice de Reclamações;0.14748880693322916;0.15376492637719633;0.13885914269777425;0.1532310423976077
CLARO;Índice de Reclamações;0.48588913084272817;0.4642253235924361;0.49019287223935937;0.461794881441694
NEXTEL;Índice de Reclamações;1.2248965598135435;1.0745847880398447;1.125264410618088;1.0511502674348188
OI;Índice de Reclamações;0.4432582106495851;0.4059554899579578;0.4093006205403071;0.43732965702536064
SERCOMTEL;Índice de Reclamações;0.04884243430692586;0.04961548002976929;0.810386173819565;0.016947716295229218
TIM;Índice de Reclamações;1.0093184734321774;0.855157014919289;0.8345582235949289;0.9759186750618833
VIVO;Índice de Reclamações;0.408003270470764;0.3548731207723647;0.3059669006897166;0.2901721914371114
ALGAR;Quantidade de acessos em serviço;1274673.0;1274673.0;1274673.0;1266062.0
CLARO;Quantidade de acessos em serviço;56412046.0;56416569.0;56416569.0;56375679.0
NEXTEL;Quantidade de acessos em serviço;3350487.0;3393869.0;3393869.0;3442895.0
OI;Quantidade de acessos em serviço;37671045.0;37666691.0;37666691.0;37582633.0
SERCOMTEL;Quantidade de acessos em serviço;61422.0;60465.0;60465.0;59005.0
TIM;Quantidade de acessos em serviço;55748509.0;55343053.0;55343053.0;55207469.0
VIVO;Quantidade de acessos em serviço;73239609.0;73426243.0;73426243.0;73587341.0
ALGAR;Quantidade de reabertas;19.0;24.0;10.0;20.0
CLARO;Quantidade de reabertas;1518.0;1700.0;1736.0;1453.0
NEXTEL;Quantidade de reabertas;265.0;272.0;207.0;164.0
OI;Quantidade de reabertas;1393.0;1151.0;1127.0;1232.0
SERCOMTEL;Quantidade de reabertas;0.0;0.0;1.0;0.0
TIM;Quantidade de reabertas;3957.0;2998.0;3112.0;3504.0
VIVO;Quantidade de reabertas;1906.0;1802.0;1371.0;1378.0
ALGAR;Quantidade de reclamações;188.0;196.0;177.0;194.0
CLARO;Quantidade de reclamações;27410.0;26190.0;27655.0;26034.0
NEXTEL;Quantidade de reclamações;4104.0;3647.0;3819.0;3619.0
OI;Quantidade de reclamações;16698.0;15291.0;15417.0;16436.0
SERCOMTEL;Quantidade de reclamações;3.0;3.0;49.0;1.0
TIM;Quantidade de reclamações;56268.0;47327.0;46187.0;53878.0
VIVO;Quantidade de reclamações;29882.0;26057.0;22466.0;21353.0
ALGAR;Quantidade de Reclamações no Período;488.0;543.0;544.0;561.0
CLARO;Quantidade de Reclamações no Período;67469.0;71466.0;75625.0;81206.0
NEXTEL;Quantidade de Reclamações no Período;11569.0;11458.0;11103.0;11568.0
OI;Quantidade de Reclamações no Período;46730.0;46001.0;46090.0;47406.0
SERCOMTEL;Quantidade de Reclamações no Período;45.0;10.0;10.0;55.0
TIM;Quantidade de Reclamações no Período;148344.0;153899.0;151402.0;149789.0
VIVO;Quantidade de Reclamações no Período;63217.0;69868.0;75408.0;78413.0
ALGAR;Quantidade de Respondidas;188.0;196.0;177.0;194.0
CLARO;Quantidade de Respondidas;25274.0;24186.0;25472.0;23644.0
NEXTEL;Quantidade de Respondidas;4000.0;3627.0;3731.0;3527.0
OI;Quantidade de Respondidas;15689.0;14768.0;14883.0;16394.0
SERCOMTEL;Quantidade de Respondidas;3.0;3.0;1.0;1.0
TIM;Quantidade de Respondidas;55732.0;46861.0;45744.0;53412.0
VIVO;Quantidade de Respondidas;29821.0;26042.0;22457.0;21308.0
ALGAR;Quantidade de Sol. Respondidas em até 5 dias;153.0;161.0;161.0;151.0
CLARO;Quantidade de Sol. Respondidas em até 5 dias;23637.0;22423.0;23747.0;22371.0
NEXTEL;Quantidade de Sol. Respondidas em até 5 dias;3484.0;3068.0;3224.0;2893.0
OI;Quantidade de Sol. Respondidas em até 5 dias;14210.0;13134.0;13215.0;14201.0
SERCOMTEL;Quantidade de Sol. Respondidas em até 5 dias;3.0;3.0;1.0;1.0
TIM;Quantidade de Sol. Respondidas em até 5 dias;48309.0;40655.0;39786.0;46560.0
VIVO;Quantidade de Sol. Respondidas em até 5 dias;25889.0;22409.0;19475.0;18457.0
ALGAR;Quantidade de Sol. Respondidas no Período;488.0;543.0;544.0;561.0
CLARO;Quantidade de Sol. Respondidas no Período;67055.0;71253.0;75416.0;81086.0
NEXTEL;Quantidade de Sol. Respondidas no Período;11565.0;11454.0;11091.0;11528.0
OI;Quantidade de Sol. Respondidas no Período;46604.0;45859.0;46020.0;47347.0
SERCOMTEL;Quantidade de Sol. Respondidas no Período;10.0;10.0;9.0;7.0
TIM;Quantidade de Sol. Respondidas no Período;148022.0;153553.0;151020.0;149396.0
VIVO;Quantidade de Sol. Respondidas no Período;63115.0;69807.0;75380.0;78342.0
ALGAR;Taxa de Reabertas;10.106382978723403;12.244897959183673;5.649717514124294;10.309278350515463
CLARO;Taxa de Reabertas;6.006172351032682;7.028859670883983;6.815326633165829;6.145322280493994
NEXTEL;Taxa de Reabertas;6.625;7.4993107251171764;5.548110426159206;4.649844060107741
OI;Taxa de Reabertas;8.878832302887375;7.793878656554713;7.572398038029967;7.514944491887275
SERCOMTEL;Taxa de Reabertas;0.0;0.0;100.0;0.0
TIM;Taxa de Reabertas;7.100050240436374;6.397644096370116;6.803077999300456;6.560323522803864
VIVO;Taxa de Reabertas;6.39146909895711;6.919591429229706;6.10500066794318;6.467054627370001
ALGAR;Taxa de Respondidas em 5 dias Úteis;81.38297872340425;82.14285714285714;90.96045197740112;77.83505154639175
CLARO;Taxa de Respondidas em 5 dias Úteis;86.23495074790223;85.61664757541047;85.86873983004881;85.92993777368058
NEXTEL;Taxa de Respondidas em 5 dias Úteis;84.89278752436647;84.12393748286263;84.42000523697303;79.93920972644378
OI;Taxa de Respondidas em 5 dias Úteis;85.10001197748234;85.89366293898372;85.7170655769605;86.40180092479922
SERCOMTEL;Taxa de Respondidas em 5 dias Úteis;100.0;100.0;2.0408163265306123;100.0
TIM;Taxa de Respondidas em 5 dias Úteis;85.85519300490509;85.90233904536522;86.14112196072487;86.41746167266788
VIVO;Taxa de Respondidas em 5 dias Úteis;86.63744059969211;85.99992324519323;86.68654856227188;86.43750292698918
ALGAR;Taxa de Respondidas no Período;100.0;100.0;100.0;100.0
