GRUPO ECONÔMICO;VARIÁVEL;2013-01-01 00:00:00;2013-02-01 00:00:00;2013-03-01 00:00:00;2013-04-01 00:00:00;2013-05-01 00:00:00;2013-06-01 00:00:00;2013-07-01 00:00:00;2013-08-01 00:00:00;2013-09-01 00:00:00;2013-10-01 00:00:00;2013-11-01 00:00:00;2013-12-01 00:00:00
CTBC Telecom;Indicador de Desempenho no Atendimento (IDA);95.0;95.111;92.083;93.056;92.75;94.083;86.746;80.511;90.639;92.083;100.0;94.77
Embratel;Indicador de Desempenho no Atendimento (IDA);76.395;73.642;74.519;70.798;73.594;72.304;70.39;60.707;65.228;63.0;70.692;71.361
GVT;Indicador de Desempenho no Atendimento (IDA);54.527;31.456;21.278;44.81;57.833;62.093;59.969;50.63;52.399;46.869;72.083;75.167
Intelig;Indicador de Desempenho no Atendimento (IDA);61.345;62.809;65.59;72.239;70.238;76.074;79.861;61.415;77.667;;;
OI;Indicador de Desempenho no Atendimento (IDA);24.116;25.007;9.824;11.664;26.233;39.072;22.0;30.165;44.081;40.914;45.606;28.155
Sercomtel;Indicador de Desempenho no Atendimento (IDA);100.0;100.0;100.0;100.0;94.792;94.403;91.683;98.167;92.308;99.472;93.59;94.485
Telefônica;Indicador de Desempenho no Atendimento (IDA);66.215;72.056;68.028;67.747;69.057;72.694;61.389;59.007;71.333;56.715;69.361;69.944
TIM;Indicador de Desempenho no Atendimento (IDA);63.861;64.944;64.25;67.806;65.139;71.417;68.556;60.369;78.5;;;
TIM/Intelig;Indicador de Desempenho no Atendimento (IDA);;;;;;;;;;75.259;80.25;87.639
CTBC Telecom;Quantidade de reclamações;442.0;440.0;532.0;506.0;520.0;484.0;541.0;497.0;417.0;378.0;255.0;239.0
Embratel;Quantidade de reclamações;8886.0;9656.0;9644.0;9263.0;10384.0;9119.0;10278.0;11028.0;9743.0;11230.0;9300.0;8764.0
GVT;Quantidade de reclamações;6536.0;9570.0;10381.0;7319.0;7074.0;5884.0;6199.0;6414.0;6210.0;7320.0;5546.0;5173.0
Intelig;Quantidade de reclamações;206.0;194.0;195.0;172.0;169.0;145.0;151.0;149.0;120.0;;;
Oi;Quantidade de reclamações;50123.0;48256.0;57612.0;57675.0;51997.0;43112.0;49922.0;4339.0;35192.0;36244.0;35741.0;44233.0
Sercomtel;Quantidade de reclamações;62.0;66.0;67.0;69.0;60.0;67.0;74.0;83.0;65.0;77.0;39.0;34.0
Telefônica;Quantidade de reclamações;14712.0;14334.0;15797.0;13975.0;13460.0;13992.0;18187.0;17118.0;14401.0;17783.0;15102.0;14790.0
TIM;Quantidade de reclamações;807.0;797.0;808.0;744.0;792.0;685.0;734.0;655.0;562.0;;;
TIM/Intelig;Quantidade de reclamações;;;;;;;;;;692.0;706.0;535.0
CTBC Telecom;Quantidade de acessos em serviço;818153.0;821514.0;824756.0;828963.0;837131.0;845400.0;832093.0;856033.0;860909.0;868211.0;872728.0;879943.0
Embratel;Quantidade de acessos em serviço;9681154.0;9787099.0;9851557.0;9971121.0;10056014.0;10155735.0;10205076.0;10341553.0;10294583.0;10505451.0;10573266.0;10862135.0
GVT;Quantidade de acessos em serviço;3636086.0;3671778.0;3690807.0;3727497.0;3767376.0;3810376.0;3843722.0;3875330.0;3927568.0;4024609.0;4063739.0;4125061.0
Intelig;Quantidade de acessos em serviço;154689.0;148939.0;146837.0;146028.0;142041.0;140707.0;139136.0;137840.0;137262.0;;;
Oi;Quantidade de acessos em serviço;18622687.0;18579855.0;18548833.0;18498236.0;18434150.0;18329720.0;18215357.0;18117559.0;18052553.0;17959692.0;17867254.0;17499910.0
Sercomtel;Quantidade de acessos em serviço;188926.0;189848.0;190917.0;191855.0;192972.0;193838.0;193906.0;194782.0;195618.0;203041.0;204618.0;207033.0
Telefônica;Quantidade de acessos em serviço;10537617.0;10492160.0;10454120.0;10428578.0;10437332.0;10416456.0;10391556.0;10363061.0;10343933.0;10335064.0;10323671.0;10253162.0
TIM;Quantidade de acessos em serviço;485722.0;491314.0;490730.0;489881.0;490340.0;493073.0;492046.0;495774.0;495712.0;;;
TIM/Intelig;Quantidade de acessos em serviço;;;;;;;;;;657027.0;659315.0;664592.0
CTBC Telecom;Índice de Reclamações;0.54;0.536;0.645;0.61;0.621;0.573;0.65;0.581;0.484;0.435;0.292;0.272
Embratel;Índice de Reclamações;0.918;0.987;0.979;0.929;1.033;0.898;1.007;1.066;0.946;1.069;0.88;0.807
GVT;Índice de Reclamações;1.798;2.606;2.813;1.964;1.878;1.544;1.613;1.655;1.581;1.819;1.365;1.254
Intelig;Índice de Reclamações;1.332;1.303;1.328;1.178;1.19;1.031;1.085;1.081;0.874;;;
OI;Índice de Reclamações;2.692;2.597;3.106;3.118;2.821;2.352;2.741;2.395;1.949;2.018;2.0;2.528
Sercomtel;Índice de Reclamações;0.328;0.348;0.351;0.36;0.311;0.346;0.382;0.426;0.332;0.379;0.191;0.164
Telefônica;Índice de Reclamações;1.396;1.366;1.511;1.34;1.29;1.343;1.75;1.652;1.392;1.721;1.463;1.442
TIM;Índice de Reclamações;1.661;1.622;1.647;1.519;1.615;1.389;1.492;1.321;1.134;;;
TIM/Intelig;Índice de Reclamações;;;;;;;;;;1.053;1.071;0.805
CTBC Telecom;Taxa de Resolvidas em 5 dias Úteis;92.76;92.727;93.233;94.664;94.038;88.43;89.834;80.885;89.928;87.037;86.275;88.285
Embratel;Taxa de Resolvidas em 5 dias Úteis;82.073;80.882;82.165;83.807;84.052;84.077;81.465;70.43;74.813;72.76;81.484;78.183
GVT;Taxa de Resolvidas em 5 dias Úteis;83.415;81.536;68.25;84.274;91.179;90.993;88.756;80.355;76.634;79.809;86.909;88.44
Intelig;Taxa de Resolvidas em 5 dias Úteis;80.583;82.474;77.436;84.884;79.882;84.138;85.43;67.785;75.833;;;
OI;Taxa de Resolvidas em 5 dias Úteis;83.796;78.517;77.581;84.739;85.278;85.51;84.696;81.016;83.135;76.101;73.484;65.132
Sercomtel;Taxa de Resolvidas em 5 dias Úteis;96.774;93.939;94.03;98.551;93.333;92.537;90.541;95.181;93.846;94.805;89.744;94.118
Telefônica;Taxa de Resolvidas em 5 dias Úteis;86.1;86.438;85.124;84.909;85.059;85.485;85.358;85.063;85.404;85.385;86.015;85.781
TIM;Taxa de Resolvidas em 5 dias Úteis;87.237;87.077;87.129;87.5;86.111;86.569;86.649;83.969;85.765;;;
TIM/Intelig;Taxa de Resolvidas em 5 dias Úteis;;;;;;;;;;83.526;85.977;85.981
CTBC Telecom;Taxa de Reabertas;5.43;5.682;4.528;3.953;5.202;6.198;8.318;11.165;9.466;9.333;7.059;8.368
Embratel;Taxa de Reabertas;7.836;7.834;7.59;8.43;7.744;8.169;8.736;11.471;12.288;9.459;9.225;9.247
GVT;Taxa de Reabertas;7.386;7.654;5.799;8.628;7.939;8.029;8.36;10.959;9.434;9.396;7.04;6.604
Intelig;Taxa de Reabertas;8.293;8.247;6.283;6.395;5.844;6.207;5.96;9.009;6.087;;;
OI;Taxa de Reabertas;9.127;9.109;10.28;10.62;8.65;8.951;10.816;11.167;9.854;8.102;7.171;7.508
Sercomtel;Taxa de Reabertas;3.226;6.061;7.463;2.899;8.333;8.955;12.329;6.024;12.308;5.263;10.256;8.824
Telefônica;Taxa de Reabertas;8.011;7.298;7.77;7.8;8.176;6.686;7.31;8.166;7.597;8.767;7.087;7.25
TIM;Taxa de Reabertas;7.472;7.323;5.479;4.993;7.722;7.313;6.528;8.824;6.691;;;
TIM/Intelig;Taxa de Reabertas;;;;;;;;;;7.375;7.932;5.461
CTBC Telecom;Taxa de Resolvidas no Período;100.0;99.914;100.0;99.929;99.932;99.936;100.0;99.871;99.935;99.931;100.0;100.0
Embratel;Taxa de Resolvidas no Período;98.936;98.715;98.829;98.635;98.802;98.831;99.115;98.672;98.791;98.843;98.537;98.415
GVT;Taxa de Resolvidas no Período;99.971;99.992;99.902;99.966;100.0;99.996;99.995;99.864;99.838;99.766;99.93;99.921
Intelig;Taxa de Resolvidas no Período;99.882;99.053;99.216;100.0;100.0;100.0;100.0;98.906;99.099;;;
OI;Taxa de Resolvidas no Período;99.462;99.583;99.634;99.633;99.707;99.692;99.537;99.405;99.532;99.55;99.627;99.621
Sercomtel;Taxa de Resolvidas no Período;100.0;100.0;99.435;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Telefônica;Taxa de Resolvidas no Período;99.776;99.873;99.858;99.862;99.353;99.868;99.969;99.901;99.909;99.859;99.996;99.989
TIM;Taxa de Resolvidas no Período;99.431;99.333;99.697;99.46;99.317;99.36;99.415;98.961;99.421;;;
TIM/Intelig;Taxa de Resolvidas no Período;;;;;;;;;;99.62;99.633;99.529
