GRUPO ECONÔMICO;VARIÁVEL;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12
ALGAR;Indicador de Desempenho no Atendimento (IDA);100.0;100.0;100.0;100.0;100.0;89.5539906103286;87.7068557919622;94.5512820512821;100.0;100.0;100.0;94.4385593220339
CLARO;Indicador de Desempenho no Atendimento (IDA);82.008;84.4402791735864;79.2052249246971;85.6676218903802;85.2909734257156;83.2681661048531;84.4880844554137;82.4393214402812;79.598;85.97;85.9157602507379;85.9019857644554
OI;Indicador de Desempenho no Atendimento (IDA);73.19358;77.9338299053761;83.6044418005953;84.8746895851887;85.9107842451103;84.7029991839854;87.4516153741863;85.4031253616992;87.839;88.648;88.5496202183042;77.4053076713022
SERCOMTEL;Indicador de Desempenho no Atendimento (IDA);43.75;56.9444444444445;57.1428571428571;100.0;77.7777777777778;100.0;76.0416666666667;4.16666666666666;83.75;91.667;93.3333333333333;82.7380952380952
TIM;Indicador de Desempenho no Atendimento (IDA);78.56394;80.8792860249777;78.1614632356733;81.7512809212174;78.8794303406035;69.2999279535268;46.4105507686744;47.1875849667528;56.749;62.866;59.0845731014997;67.1857859559398
VIVO;Indicador de Desempenho no Atendimento (IDA);81.71317;82.1581324707498;79.4352589857165;81.1019165145095;80.7420143758973;76.9665234934568;83.1968969969228;79.5837447713788;78.291;78.403;67.7594474308691;73.4498246223695
ALGAR;Índice de Reclamações;0.10262;0.100730678978194;0.119558198189417;0.0913258689656432;0.0915955020502126;0.107258208274291;0.105976790331309;0.146174062574493;0.137;0.142;0.154294864977013;0.175915918154374
CLARO;Índice de Reclamações;0.55984;0.511194416528271;0.615895501506058;0.486647562192395;0.494180531485688;0.534636677902938;0.510238310891725;0.551213571194376;0.5;0.481;0.481684794985242;0.481960284710892
OI;Índice de Reclamações;0.499097;0.428320043281105;0.527911163988094;0.502506208296226;0.481784315097793;0.505940016320293;0.450967692516274;0.491937492766016;0.443;0.427;0.429007595633917;0.451300195221686
SERCOMTEL;Índice de Reclamações;0.183332;0.0454098236585181;0.11953143676787;0.0441494606407558;0.0435009570210545;0.0840277291506197;0.05611357387352;0.0278411938303914;0.139;0.056;0.0705606751245396;0.111928813274757
TIM;Índice de Reclamações;0.628721;0.582414279500446;0.636770735286534;0.564974381575652;0.62241139318793;0.701270546326059;0.826318241496142;0.955723241933777;0.79;0.802;0.870767928369713;0.750166337014915
VIVO;Índice de Reclamações;0.565737;0.556837350585003;0.611294820285669;0.577961669709809;0.585159712482054;0.551117569956626;0.536062060061545;0.608325104572424;0.523;0.527;0.556103555524174;0.553783773684076
ALGAR;Quantidade de acessos em serviço;1305794.0;1310425.0;1313168.0;1313976.0;1310108.0;1323908.0;1330480.0;1334026.0;1335308.0;1335104.0;1335106.0;1341550.0
CLARO;Quantidade de acessos em serviço;65036448.0;65434987.0;65288673.0;64816928.0;64585709.0;64264203.0;64019105.0;63683120.0;63518464.0;60592044.0;61880716.0;60170933.0
OI;Quantidade de acessos em serviço;47778310.0;47784362.0;47748564.0;47684983.0;47737129.0;47553068.0;47271679.0;47060857.0;46365615.0;45702574.0;45374488.0;42138249.0
SERCOMTEL;Quantidade de acessos em serviço;65455.0;66065.0;66928.0;67951.0;68964.0;71405.0;71284.0;71836.0;72146.0;71979.0;70861.0;71474.0
TIM;Quantidade de acessos em serviço;66904053.0;67319778.0;67269109.0;66374691.0;65371554.0;63988143.0;63584461.0;63514203.0;63247069.0;63226286.0;63118999.0;63417935.0
VIVO;Quantidade de acessos em serviço;73267319.0;73258376.0;73270701.0;73271295.0;73256923.0;73303778.0;73381429.0;73468939.0;73494793.0;73509087.0;73588812.0;73777893.0
ALGAR;Quantidade de reabertas;9.0;10.0;8.0;6.0;4.0;12.0;16.0;17.0;14.0;9.0;13.0;21.0
CLARO;Quantidade de reabertas;2813.0;2477.0;2663.0;2057.0;2081.0;2491.0;2455.0;2653.0;2736.0;2198.0;2230.0;2305.0
OI;Quantidade de reabertas;2393.0;1679.0;1959.0;1797.0;1539.0;1671.0;1158.0;1405.0;1418.0;1075.0;1542.0;1498.0
SERCOMTEL;Quantidade de reabertas;5.0;1.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0
TIM;Quantidade de reabertas;3290.0;2929.0;3137.0;2560.0;3043.0;3984.0;8850.0;8034.0;6683.0;5687.0;6467.0;4038.0
VIVO;Quantidade de reabertas;2972.0;2721.0;2996.0;2508.0;3091.0;3521.0;3100.0;3294.0;3405.0;3262.0;5005.0;3150.0
ALGAR;Quantidade de reclamações;134.0;132.0;157.0;120.0;120.0;142.0;141.0;195.0;183.0;190.0;206.0;236.0
CLARO;Quantidade de reclamações;36410.0;33450.0;40211.0;31543.0;31917.0;34358.0;32665.0;35103.0;31750.0;29120.0;29807.0;29000.0
OI;Quantidade de reclamações;23846.0;20467.0;25207.0;23962.0;22999.0;24059.0;21318.0;23151.0;20550.0;19517.0;19466.0;19017.0
SERCOMTEL;Quantidade de reclamações;12.0;3.0;8.0;3.0;3.0;6.0;4.0;2.0;10.0;4.0;5.0;8.0
TIM;Quantidade de reclamações;42064.0;39208.0;42835.0;37500.0;40688.0;44873.0;52541.0;60702.0;49980.0;50715.0;54962.0;47574.0
VIVO;Quantidade de reclamações;41450.0;40793.0;44790.0;42348.0;42867.0;40399.0;39337.0;44693.0;38427.0;38703.0;40923.0;40857.0
ALGAR;Quantidade de Reclamações no Período;461.0;424.0;411.0;423.0;409.0;397.0;382.0;403.0;478.0;519.0;568.0;579.0
CLARO;Quantidade de Reclamações no Período;114783.0;110780.0;106780.0;110054.0;105192.0;103664.0;97806.0;98932.0;102116.0;99515.0;95962.0;90674.0
OI;Quantidade de Reclamações no Período;70762.0;72184.0;68270.0;69524.0;69643.0;72177.0;71029.0;68385.0;68541.0;65030.0;63230.0;59544.0
SERCOMTEL;Quantidade de Reclamações no Período;67.0;71.0;54.0;23.0;14.0;14.0;12.0;13.0;12.0;16.0;16.0;19.0
TIM;Quantidade de Reclamações no Período;130003.0;133357.0;127080.0;124107.0;119545.0;121028.0;123062.0;138077.0;158089.0;163200.0;161397.0;155651.0
VIVO;Quantidade de Reclamações no Período;123299.0;123584.0;125414.0;127050.0;127942.0;130015.0;125626.0;122625.0;124461.0;122490.0;121849.0;118070.0
ALGAR;Quantidade de Respondidas;134.0;132.0;157.0;120.0;120.0;142.0;141.0;195.0;183.0;190.0;206.0;236.0
CLARO;Quantidade de Respondidas;36188.0;33409.0;40087.0;31500.0;31903.0;34327.0;32635.0;35068.0;31612.0;29091.0;29794.0;28946.0
OI;Quantidade de Respondidas;23785.0;20401.0;25186.0;23889.0;22842.0;24010.0;21177.0;23110.0;20533.0;19479.0;19463.0;18676.0
SERCOMTEL;Quantidade de Respondidas;10.0;3.0;7.0;3.0;3.0;6.0;4.0;1.0;10.0;4.0;5.0;7.0
TIM;Quantidade de Respondidas;42055.0;38933.0;42304.0;37262.0;40603.0;44176.0;46345.0;60678.0;49332.0;50572.0;54790.0;47565.0
VIVO;Quantidade de Respondidas;41426.0;40767.0;44758.0;42321.0;42859.0;40175.0;39096.0;44681.0;38229.0;38672.0;39800.0;39931.0
ALGAR;Quantidade de Sol. Respondidas em até 5 dias;118.0;117.0;145.0;113.0;115.0;120.0;119.0;166.0;161.0;173.0;188.0;210.0
CLARO;Quantidade de Sol. Respondidas em até 5 dias;31375.0;28982.0;34610.0;27619.0;28182.0;29981.0;27943.0;30260.0;27305.0;25080.0;25838.0;24923.0
OI;Quantidade de Sol. Respondidas em até 5 dias;19866.0;17086.0;21496.0;20464.0;19710.0;20617.0;18366.0;19841.0;17703.0;16969.0;16575.0;16155.0
SERCOMTEL;Quantidade de Sol. Respondidas em até 5 dias;3.0;1.0;2.0;3.0;1.0;6.0;3.0;0.0;7.0;3.0;4.0;6.0
TIM;Quantidade de Sol. Respondidas em até 5 dias;36091.0;33613.0;36681.0;32161.0;34891.0;38190.0;36245.0;48408.0;42075.0;44397.0;47276.0;40640.0
VIVO;Quantidade de Sol. Respondidas em até 5 dias;35929.0;35801.0;38696.0;37415.0;36977.0;34462.0;33926.0;38439.0;33156.0;33287.0;32850.0;29996.0
ALGAR;Quantidade de Sol. Respondidas no Período;461.0;424.0;411.0;423.0;409.0;397.0;382.0;403.0;478.0;519.0;568.0;579.0
CLARO;Quantidade de Sol. Respondidas no Período;114611.0;110582.0;106644.0;110032.0;105101.0;103595.0;97704.0;98874.0;102106.0;99514.0;95917.0;90639.0
OI;Quantidade de Sol. Respondidas no Período;70597.0;71973.0;68076.0;69361.0;69443.0;71949.0;70772.0;68136.0;68353.0;64884.0;63078.0;59348.0
SERCOMTEL;Quantidade de Sol. Respondidas no Período;67.0;71.0;54.0;23.0;14.0;14.0;12.0;13.0;12.0;16.0;16.0;19.0
TIM;Quantidade de Sol. Respondidas no Período;129487.0;132735.0;126395.0;124000.0;119214.0;120398.0;123040.0;138069.0;157541.0;163194.0;161390.0;155651.0
VIVO;Quantidade de Sol. Respondidas no Período;123188.0;123514.0;125355.0;126987.0;127550.0;129731.0;125327.0;122267.0;124337.0;122473.0;121817.0;117810.0
ALGAR;Taxa de Reabertas;6.716418;7.57575757575758;5.09554140127389;5.0;3.33333333333333;8.45070422535211;11.3475177304965;8.71794871794872;7.65;4.737;6.31067961165049;8.89830508474576
CLARO;Taxa de Reabertas;7.773295;7.41416983447574;6.64305136328485;6.53015873015873;6.52289753314735;7.25667841640691;7.52259843726061;7.56530169955515;8.655;7.556;7.48472846881923;7.96310371035722
OI;Taxa de Reabertas;10.06096;8.22998872604284;7.77813070753593;7.52229059399724;6.73758865248227;6.95960016659725;5.46819662841762;6.07961921246214;6.906;5.519;7.92272517083697;8.02098950524738
SERCOMTEL;Taxa de Reabertas;50.0;33.3333333333333;28.5714285714286;0.0;0.0;0.0;25.0;100.0;10.0;0.0;0.0;14.2857142857143
TIM;Taxa de Reabertas;7.823089;7.52318084915111;7.41537443267776;6.87026998014063;7.49452010935153;9.01847156827237;19.0959111015212;13.2403836645901;13.547;11.245;11.8032487680234;8.48943550930306
VIVO;Taxa de Reabertas;7.174238;6.67451615277062;6.69377541445105;5.92613596087049;7.21202081243146;8.76415681393902;7.92919991815019;7.37226114008191;8.907;8.435;12.5753768844221;7.88860784853873
ALGAR;Taxa de Respondidas em 5 dias Úteis;88.0597;88.6363636363636;92.3566878980892;94.1666666666667;95.8333333333333;84.5070422535211;84.3971631205674;85.1282051282051;87.978;91.053;91.2621359223301;88.9830508474576
CLARO;Taxa de Respondidas em 5 dias Úteis;86.17138;86.6427503736921;86.0709756036905;87.5598389500048;88.2977723470251;87.2606088829385;85.5441604163478;86.2034583938695;86.0;86.126;86.684335894253;85.9413793103448
OI;Taxa de Respondidas em 5 dias Úteis;83.30957;83.4807250696243;85.2778989963106;85.4018863200067;85.6993782338363;85.6935034706347;86.1525471432592;85.70256144443;86.146;86.945;85.1484639884928;84.9503076194983
SERCOMTEL;Taxa de Respondidas em 5 dias Úteis;25.0;33.3333333333333;25.0;100.0;33.3333333333333;100.0;75.0;0.0;70.0;75.0;80.0;75.0
TIM;Taxa de Respondidas em 5 dias Úteis;85.80021;85.7299530708019;85.633243842652;85.7626666666667;85.7525560361777;85.1068571301228;68.9842218457966;79.7469605614313;84.184;87.542;86.0157927295222;85.4248118720309
VIVO;Taxa de Respondidas em 5 dias Úteis;86.68034;87.7626063295173;86.3942844384907;88.3512798715406;86.2598269064782;85.3040916854378;86.2445026311107;86.0067572103014;86.283;86.006;80.2727072795249;73.41703991972
ALGAR;Taxa de Respondidas no Período;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
CLARO;Taxa de Respondidas no Período;99.85;99.821;99.873;99.98;99.913;99.933;99.896;99.941;99.99;99.999;99.953;99.961
OI;Taxa de Respondidas no Período;99.767;99.708;99.716;99.766;99.713;99.684;99.638;99.636;99.726;99.775;99.76;99.671
SERCOMTEL;Taxa de Respondidas no Período;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
TIM;Taxa de Respondidas no Período;99.603;99.534;99.461;99.914;99.723;99.479;99.982;99.994;99.653;99.996;99.996;100.0
VIVO;Taxa de Respondidas no Período;99.91;99.943;99.953;99.95;99.694;99.782;99.762;99.708;99.9;99.986;99.974;99.78
