GRUPO ECONÔMICO;VARIÁVEL;2019-01;2019-02;2019-03;2019-04
ALGAR;Indicador de Desempenho no Atendimento (IDA);94.84963296735232;98.18306914430403;100.0;100.0
EMBRATEL;Indicador de Desempenho no Atendimento (IDA);82.66707956715604;89.19835622316415;89.21683668019982;92.44223520075514
OI;Indicador de Desempenho no Atendimento (IDA);38.12662618130457;49.730558346462786;45.43894898217185;39.15322640384917
SERCOMTEL;Indicador de Desempenho no Atendimento (IDA);91.55555555555556;86.88006828851901;71.96339261895326;81.96969696969697
TIM;Indicador de Desempenho no Atendimento (IDA);13.279852124864334;28.411349135170425;23.822926643803214;27.584922262313
VIVO;Indicador de Desempenho no Atendimento (IDA);61.255375010608766;68.96577574869026;69.39063398080046;66.60799718906253
ALGAR;Índice de Reclamações;0.5454132131753162;0.425409510805055;0.31884052948321845;0.3593864432296862
EMBRATEL;Índice de Reclamações;0.8332373788525724;0.7488591759660903;0.6745921502504449;0.632079532772815
OI;Índice de Reclamações;2.3921518949363354;2.1696998995273393;2.1332421022353745;2.353083917884283
SERCOMTEL;Índice de Reclamações;0.307910845441072;0.22580128665678614;0.17709830603410998;0.14610972422833193
TIM;Índice de Reclamações;2.7854687851524824;2.320076224810562;2.4439744353037534;2.3618677248397684
VIVO;Índice de Reclamações;1.754806499618084;1.4772320730471504;1.4619371766911833;1.5621121011937487
ALGAR;Quantidade de acessos em serviço;1156921.0;1154182.0;1154182.0;1177006.0
EMBRATEL;Quantidade de acessos em serviço;10213176.0;10179484.0;10179484.0;10123726.0
OI;Quantidade de acessos em serviço;11998820.0;11931604.0;11931604.0;11357436.0
SERCOMTEL;Quantidade de acessos em serviço;243577.0;243577.0;242803.0;239546.0
TIM;Quantidade de acessos em serviço;897874.0;912039.0;912039.0;946285.0
VIVO;Quantidade de acessos em serviço;12657236.0;12553207.0;12553207.0;12289771.0
ALGAR;Quantidade de reabertas;38.0;29.0;22.0;24.0
EMBRATEL;Quantidade de reabertas;542.0;433.0;382.0;331.0
OI;Quantidade de reabertas;2365.0;1926.0;2109.0;2308.0
SERCOMTEL;Quantidade de reabertas;4.0;2.0;4.0;6.0
TIM;Quantidade de reabertas;435.0;282.0;321.0;307.0
VIVO;Quantidade de reabertas;1197.0;1089.0;1126.0;1182.0
ALGAR;Quantidade de reclamações;631.0;491.0;368.0;423.0
EMBRATEL;Quantidade de reclamações;8510.0;7623.0;6867.0;6399.0
OI;Quantidade de reclamações;28703.0;25888.0;25453.0;26725.0
SERCOMTEL;Quantidade de reclamações;75.0;55.0;43.0;35.0
TIM;Quantidade de reclamações;2501.0;2116.0;2229.0;2235.0
VIVO;Quantidade de reclamações;22211.0;18544.0;18352.0;19198.0
ALGAR;Quantidade de Reclamações no Período;1382.0;1552.0;1608.0;1490.0
EMBRATEL;Quantidade de Reclamações no Período;18054.0;20327.0;22206.0;22993.0
OI;Quantidade de Reclamações no Período;79926.0;79037.0;78279.0;80046.0
SERCOMTEL;Quantidade de Reclamações no Período;131.0;142.0;146.0;172.0
TIM;Quantidade de Reclamações no Período;6423.0;6729.0;6560.0;6848.0
VIVO;Quantidade de Reclamações no Período;53018.0;55462.0;56512.0;59114.0
ALGAR;Quantidade de Respondidas;631.0;491.0;368.0;423.0
EMBRATEL;Quantidade de Respondidas;8045.0;7022.0;6345.0;5985.0
OI;Quantidade de Respondidas;27248.0;24968.0;24850.0;26307.0
SERCOMTEL;Quantidade de Respondidas;70.0;50.0;41.0;33.0
TIM;Quantidade de Respondidas;2480.0;2041.0;2203.0;2226.0
VIVO;Quantidade de Respondidas;22201.0;18542.0;18347.0;19193.0
ALGAR;Quantidade de Sol. Respondidas em até 5 dias;539.0;419.0;328.0;371.0
EMBRATEL;Quantidade de Sol. Respondidas em até 5 dias;7277.0;6530.0;5943.0;5614.0
OI;Quantidade de Sol. Respondidas em até 5 dias;24440.0;22269.0;21769.0;22850.0
SERCOMTEL;Quantidade de Sol. Respondidas em até 5 dias;56.0;38.0;20.0;28.0
TIM;Quantidade de Sol. Respondidas em até 5 dias;1872.0;1576.0;1615.0;1686.0
VIVO;Quantidade de Sol. Respondidas em até 5 dias;19092.0;15895.0;15834.0;16471.0
ALGAR;Quantidade de Sol. Respondidas no Período;1382.0;1552.0;1608.0;1490.0
EMBRATEL;Quantidade de Sol. Respondidas no Período;17676.0;20263.0;21979.0;22991.0
OI;Quantidade de Sol. Respondidas no Período;79865.0;78928.0;78225.0;80009.0
SERCOMTEL;Quantidade de Sol. Respondidas no Período;130.0;140.0;143.0;172.0
TIM;Quantidade de Sol. Respondidas no Período;6415.0;6721.0;6548.0;6847.0
VIVO;Quantidade de Sol. Respondidas no Período;52821.0;55306.0;56308.0;58843.0
ALGAR;Taxa de Reabertas;6.022187004754358;5.906313645621181;5.978260869565218;5.673758865248227
EMBRATEL;Taxa de Reabertas;6.7371037911746425;6.16633437767018;6.020488573680063;5.530492898913952
OI;Taxa de Reabertas;8.67953611274222;7.713873758410767;8.48692152917505;8.773330292317635
SERCOMTEL;Taxa de Reabertas;5.714285714285714;4.0;9.75609756097561;18.181818181818183
TIM;Taxa de Reabertas;17.540322580645164;13.816756491915728;14.571039491602361;13.791554357592092
VIVO;Taxa de Reabertas;5.391649024818702;5.873152842196095;6.137243146018423;6.158495284739228
ALGAR;Taxa de Respondidas em 5 dias Úteis;85.41996830427892;85.33604887983707;89.13043478260869;87.70685579196218
EMBRATEL;Taxa de Respondidas em 5 dias Úteis;85.5111633372503;85.66181293454021;86.54434250764525;87.73245819659323
OI;Taxa de Respondidas em 5 dias Úteis;85.14789394836777;86.0205500618047;85.52626409460574;85.50046772684752
SERCOMTEL;Taxa de Respondidas em 5 dias Úteis;74.66666666666667;69.0909090909091;46.51162790697674;80.0
TIM;Taxa de Respondidas em 5 dias Úteis;74.8500599760096;74.48015122873346;72.4540152534769;75.43624161073825
